symbol,fund_name,observed_at,market_date,last_price,nav,nav_bubble
طلا,صندوق س. کالای پارسیان,2026-09-05 11:07:31.647523+03:30,20260905,1600000.0,1608372.0,-0.5205263458951038
آلتون,صندوق س. کالای آسمان,2026-09-05 11:07:31.647872+03:30,20260905,71475.0,71762.0,-0.3999331122321006
زر,صندوق س.کالای امید ثروت ایران,2026-09-05 11:07:31.648341+03:30,20260905,960090.0,973652.0,-1.3929001326962815
درنا,صندوق س.پشتوانه طلای درنا,2026-09-05 11:07:31.648605+03:30,20260905,25552.0,25723.0,-0.6647747152353924
گلدیس,صندوق س.پشتوانه طلا گلدیس نوین,2026-09-05 11:07:31.649221+03:30,20260905,43977.0,44134.0,-0.35573480763130466
لیان,صندوق س.کالای دیبای معیار,2026-09-05 11:07:31.654282+03:30,20260905,41366.0,41383.0,-0.04107967039605635
ناب,صندوق س.پشتوانه طلا نهایت نگر,2026-09-05 11:07:31.654475+03:30,20260905,76118.0,76789.0,-0.8738230736173149
گوهر,صندوق س.کالای کیان,2026-09-05 11:07:31.654753+03:30,20260905,1074995.0,1081770.0,-0.6262883977185538
آتش,صندوق س.کالای کهکشان فیروزه,2026-09-05 11:07:31.741276+03:30,20260905,40002.0,40412.0,-1.0145501336236762
قیراط,صندوق س.کالای درفش دماوند,2026-09-05 11:07:31.753862+03:30,20260905,40296.0,40487.0,-0.47175636624101563
زرگر,صندوق س.کالای کارآمد,2026-09-05 11:07:31.755028+03:30,20260905,22915.0,22931.0,-0.0697745410143474
زروان,صندوق س.کالای ویستا,2026-09-05 11:07:31.755489+03:30,20260905,45600.0,45568.0,0.0702247191011236
مثقال,صندوق س.کالای آگاه,2026-09-05 11:07:31.756649+03:30,20260905,182001.0,181962.0,0.021433046460249943
نفیس,صندوق س.کالای صبا,2026-09-05 11:07:31.765271+03:30,20260905,130546.0,132397.0,-1.398067932052841
امرالد,صندوق س. کالای کیمیا,2026-09-05 11:07:31.765947+03:30,20260905,30243.0,30397.0,-0.5066289436457545
زرفام,صندوق س.کالای آشنا,2026-09-05 11:07:31.791453+03:30,20260905,164600.0,167058.0,-1.4713452812795558
درخشان,صندوق س.کالای آبان,2026-09-05 11:07:31.822914+03:30,20260905,40700.0,41024.0,-0.7897815912636506
تابش,صندوق س.کالای تابان تمدن,2026-09-05 11:07:31.834384+03:30,20260905,90000.0,90713.0,-0.7859953920606748
ریتون,صندوق س. کالای پاسارگاد,2026-09-05 11:07:31.835266+03:30,20260905,21501.0,21717.0,-0.9946125155408205
جواهر,صندوق س.کالای دنای زاگرس,2026-09-05 11:07:31.835836+03:30,20260905,83340.0,83907.0,-0.6757481497372091
زمرد,صندوق س.کالای زمرد بیدار,2026-09-05 11:07:31.836846+03:30,20260905,31040.0,31504.0,-1.472828847130523
عیار,صندوق طلای عیار مفید,2026-09-05 11:07:31.843966+03:30,20260905,636540.0,619688.0,2.7194330049960627
گنج,صندوق س. سیمای کاردان,2026-09-05 11:07:31.844582+03:30,20260905,194100.0,195293.0,-0.6108769899586775
گلدا,صندوق س.کالای پاداش,2026-09-05 11:07:31.878733+03:30,20260905,20214.0,20491.0,-1.35181299106925
کهربا,صندوق س. کالای کهربا,2026-09-05 11:07:31.908474+03:30,20260905,216349.0,217751.0,-0.643854678049699
جام طلا,صندوق س.مبتنی بر کالای فارابی,2026-09-05 11:07:31.925514+03:30,20260905,20222.0,20312.0,-0.4430878298542733
میراث,صندوق س.کالای کوروش,2026-09-05 11:07:31.926015+03:30,20260905,13425.0,13483.0,-0.430171326856041
نگین فارس,صندوق س.طلا زردیس خلیج فارس,2026-09-05 11:07:31.926804+03:30,20260905,17130.0,17288.0,-0.9139287366959742
همیان,صندوق س.پشتوانه طلا همیان سپهر,2026-09-05 11:07:31.927365+03:30,20260905,19728.0,19954.0,-1.132604991480405
رزگلد,صندوق س. کالای آرمان آتی,2026-09-05 11:07:31.930056+03:30,20260905,20785.0,20911.0,-0.6025536798814022
رز ترنج,صندوق س.کالای ترنج,2026-09-05 11:07:31.930520+03:30,20260905,27980.0,28151.0,-0.6074384568931832
