symbol,fund_name,observed_at,market_date,last_price,nav,nav_bubble
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-01 12:00:00+03:30,2025-01-01,10166.0,10026.0,1.3963694394574109
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-04 12:00:00+03:30,2025-01-04,10016.0,9832.0,1.8714401952807165
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-05 12:00:00+03:30,2025-01-05,10012.0,9878.0,1.356549908888439
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-06 12:00:00+03:30,2025-01-06,10010.0,9809.0,2.0491385462330514
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-07 12:00:00+03:30,2025-01-07,10027.0,9984.0,0.4306891025641026
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-08 12:00:00+03:30,2025-01-08,10064.0,10005.0,0.5897051474262869
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-11 12:00:00+03:30,2025-01-11,10420.0,10180.0,2.357563850687623
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-12 12:00:00+03:30,2025-01-12,10395.0,10111.0,2.8088220749678565
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-13 12:00:00+03:30,2025-01-13,10472.0,10180.0,2.868369351669941
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-15 12:00:00+03:30,2025-01-15,10354.0,10089.0,2.6266230548121716
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-18 12:00:00+03:30,2025-01-18,10299.0,10120.0,1.768774703557312
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-19 12:00:00+03:30,2025-01-19,10269.0,10095.0,1.723625557206538
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-20 12:00:00+03:30,2025-01-20,10331.0,10131.0,1.9741387819563712
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-21 12:00:00+03:30,2025-01-21,10582.0,10416.0,1.5937019969278032
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-22 12:00:00+03:30,2025-01-22,10849.0,10573.0,2.6104227749929065
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-25 12:00:00+03:30,2025-01-25,10952.0,10760.0,1.7843866171003715
