symbol,Gold Fund Ratio,Average NAV Bubble
زمرد,7233,-0.580%
جام طلا,11117,0.169%
رز ترنج,8082,-0.399%
قیراط,5631,0.147%
لیان,5503,-0.077%
گلدا,10999,-0.326%
آلتون,3180,0.175%
درنا,8947,-0.255%
درخشان,5603,0.030%
رزگلد,10968,-0.320%
آتش,5681,-0.079%
امرالد,7616,-0.520%
گوهر,213,0.070%
گلدیس,5192,-0.193%
زر,239,-0.401%
ناب,2994,-0.134%
تابش,2535,-0.045%
کهربا,1055,0.089%
جواهر,2744,0.107%
زروان,5082,-0.248%
طلا,143,0.083%
مثقال,1264,0.108%
زرگر,10039,-0.495%
همیان,11579,0.186%
ریتون,10590,-0.573%
میراث,17033,0.761%
زرفام,1382,-0.467%
نفیس,1760,-0.287%
گنج,1193,0.286%
عیار,369,0.766%
نگین فارس,13349,-0.623%
